id,title,writer,datetime,question,answer
4576,대표님 앞으론 당을 위해서 아무것도 하지 마십시오,홍군침이,4시간 전,속상합니다.차라리 무소속이실때가 더 자유로워 보이고빛나셨던거 같습니다.국힘같은 더러운 변절자 집단은버리시고 혼자만의 길을 걸으세요.,정치는 혼자할수는 없어요
4575,"준표형, 강경하게 나가주십시요.",신하리,5시간 전,"준표형이 저 협잡꾼들이 저런식으로 나올 걸사전에 예상은 하셨으리라 생각합니다.다만, 이렇게 까진 하지 않았으면 하셨겠지요.저들이 저런 악수를 공개적으로 두었으니깐.저희들이 준표형과 모든 순간을 함께 할테니준표형이 현재 결정하신 방안대로 그저 강경하게 밀어 붙여 주십시요.언제나 준표형 곁에는 의리의 홍카단들이 있습니다!",특정 최고위원의 농간입니다.
4574,빈 잔에 광야를 가는 것도 막는 저들은 대체 양심이란게 있는지 모르겠습니다,샘숭세탁기,9시간 전,"뭐 다른 걸 바라신 것도 아니고그저 빈 잔을 들고, 대구에 가셔서 대구의 발전만 원하신건데 지들 밥그릇 뺏길까봐 쩔쩔매서 말같지도 않은 규칙 추가한거 보면 어이가 없습니다 -25%면 박정희 전 대통령이, 김영삼 전 대통령이 오셔도 장담할 수 없는거 아닙니까대체 언제부터 보수가 비겁을 넘어 '치졸'의 단계까지 왔는지 이해를 할 수 없습니다 보수 정당의 당원이라고 스스로 당당하게 말하고 다녔는데이젠 쪽팔릴 지경이네요 의원님! 힘 내시길 바라겠습니다",치사한짓
4573,"이번에는 참지 마시길 바랍니다 , 이 정당은 자생력을 상실했습니다",홍토벤,11시간 전,"윤석열과 함께 가면서정당의 이념이니 정당의 가치니 윤석열이 망해도 이젠 예전 보수로 돌아올 수 있을지 의문이 듭니다 ,  의원님은 이제 더 이상 참지 마십시오 , 국민의 힘의 홍준표가 아니고 차기 대통령홍준표입니다 , 국민의 힘 대구시장이 아니고민심이 원하는 대구시장 홍준표입니다홍준표가 얼마나 우스우면 초선 의원들 입조심 하지 않고 정치 선배한테 대놓고 입 터는 것 좀 보세요 ,더 이상 참지 마세요 의원님",더러운꼴도 봐야하는게 정칩니다
4572,22살에 꿈을 도전하는건,메건,19시간 전,무모한짓일까요.아니면 이런 질문하는게 무모한걸까요..저의 꿈은 정주영회장님처럼큰 회사를 만들고싶습니다.,큰쿰 꾸어야 작은것이라도 이루어집니다
4571,조순형 의원에 관해서,한일B,20시간 전,준표형도 잘아시는 정치인으로 알고 있습니다. 민주당내에서 쓴소리로 유명한분이죠. 존경햇던분인데  대선경선 후 이회창당으로 갔던게 참 실망스러웠던 생각이듭니다. 그런데 다시 생각해보니 어쩌면 맞는 행동일지도 모르겠다는 생각이 요즘 듭니다. 그래서 홍준표의원님도 이젠 유유하게 마시고 국힘내에서 막말이라도 쓴소리 크게 해주시길 바랍니다. 대통령은 하늘이 내리는거지만 그저 참고만 있으면 기회는 오지안을듯 합니다. 다시 예전모습으로 돌아가셔서 할말 다하고 팩트로 국힘을 휘져어버리세요 그러면 분명 운명처럼 갈수밖에없는 길이 나타날지도모릅니다,이젠 원숙한 나이가 됐어요
4570,당신이 누구인지를 보여주십쇼,알파고,22시간 전,나 모래시계 검사 홍준표다나 강골검사 홍준표다아주 의원님을 만만하게 보는것같습니다이번기회에 저 구태들에게 당신이 어떤사람이였는지를 보여주십쇼당신 곁에 늘 함께하겠습니다.,맘대로 안될겁니다
4569,홍의원님 이제 이준석 당대표라는 사람에게 존중해수지 마십소,이누야샤,22시간 전,경선때 그렇게 존중하고 감싸줬는데 준석이가 해준게뭐가 있습니까?? 윤과 하태경 유승민만 이득본경선이 되었고 후보교체도 해줄듯이 하다가통수치고(차라리 도망치면서 후보교체쇼안하고그대로 갔음 욕도 안합니다) 그리고 준표형님 원팀 안했음 졌을대선을이겨놓고 이준석 당대표는 또 홍의원님이낭떠러지로 가는길을 방관하고있습니다지금 권영세 하태경 권성동 같은 구태보다이준석 같은 구태가 훨씬 위험합니다 이제 이준석한테 확실하게 반항해야합니다홍의원님도 한때 원외 원내 대표 였지 않습니까??,아직 나이가
4568,홍의원님은 혼자가 아니십니다.,홍석천,2022.03.21,항상 곁에 우리 홍카단이 있습니다.비록 헌신한 당과 그당에 구태들이 의원님을 몰아내려 하지만 이제는 의원님은 혼자가 아니십니다.노래 한곡 듣고 가셔요.,고맙습니다
4567,심판이 스스로 룰을 짜고 그곳에 뛰어들었네요,정치꿈나무,2022.03.21,룰을 만든 심판이 경기에 뛰어든 시점에서 룰이 공정하지 않다는 것을 만천하에 알린 꼴인데 지선에 영향이 가지 않을까요?,지난 총선처럼 막천하면 망하지요
4566,얼마나 홍형이 무서우면 -25% 경선룰 기가차네요.,홍통령만본다,2022.03.21,홍형 절대 이번에는 탈당마시고 광역자치단체장 선거인만큼 반드시 이길수있는 선택을 하세요. 아예 저들의 야비한 공격에 나중에라도 빌미자체를 주지마세요. 지난번 막천때도 고생하셨는데 경선에서 꽃길 걷길 진심으로 바랍니다.경선에서 반드시 오늘 라디오선거에서 나댄 꼴보기싫은 그 인간 꺾어서 정계은퇴시켜주세요 제발이번에 대구로 보여주셔야 차기대선도 다지실수있습니다. 여론조사에서 압도적인 민심을 확인하셨겠지만 홍형이 좋아하시는 바둑처럼 경선룰에서만큼은 확실히 바꿀수있는 한수를 두시거나 혹은 룰은 못바꾸더라도 저 룰이 얼마나 잘못된것인지를 6.1 지방선거로 보여주세요.항상 힘내세요. 끝까지 지지합니다.,고맙습니다
4565,대구에서의 건승을 기원합니다,멈추지않는팽이,2022.03.20,"이럴줄 알았으면 대구를 떠나지 말걸 그랬습니다...대구... 사실 의원님께서도 인지하시듯 젊은 인재들이 역량을 펼칠 공간도, 기업도 없는것이 현주소입니다.청년들이 즐길 문화도 거의 없습니다. 한때는 저도 청소년, 청년들의 문화에 도움이 되고자 단체에서도, 그 외 많은 활동을 해보았지만 현실이란게 참 그렇더군요...예로부터 대구,경북에서 인물이 많았지만 그 재능들을 뒷받침해 주지 못하였습니다. 이번에 꼭 제 고향 대구를, 다시 연어의 귀소본능이 생기도록 발전시켜 주실분은 의원님뿐이라 생각됩니다... 늘 청년정치인을 잘 육성해주시고 좋은 대한민국, 나아가서 강골한 선진 대한민국을 만드는 정치인이 되어 주시길 간절히 바랍니다. 아울러 의원님은 이제 지지하는 많은 청년들의 바람을 어깨에 짊어지셨습니다... 부디 건강하시길 타지에서 기원하고 또 기원하겠습니다! 의원님을 위해 한표를 던질수 없는 것이 이토록 안타까울줄이야... 제가 정치인을 응원할 줄은 꿈에도 상상하지 못했습니다. 늘 평안과 좋은 일만 있으시길 오늘 늦은 새벽 간절히 기도드려봅니다.",고맙습니다
4564,홍대표님 울산광역시 대학이전 관련,사랑이,2022.03.20,"다른유저분 글 대신 올려드립니다.안녕하세요 홍대표님 해운 직종 관련자입니다. 3월 18일자 청문홍답에서 울산광역시로 대학 이전에 대해 한 유저분이 홍대표님께 건의드렸는데 저는 그 의견에 반박하고자 필력이 좋지않음에도 불구하고 이렇게의견을 개진하고자 합니다. 양해 부탁드립니다.일단 저는 한국해양대 출신이고 현실적으로 부경대(구 수산대)와 한국해양대의 울산 이전이 불가능하고 이치에도 맞지 않다고 생각합니다. 첫째는 역사성으로 부경대와 한국해양대는 오랜시간 부산 지역민들과 함께 해왔습니다. 부경대는 1924년 개교 후 부산에서, 한국해양대는 1919년 진해에서 개교 후 1973년 부산으로 이전하여 오랜 시간을 부산 경제 활성화와 인재 육성에 힘써왔으므로 역사성을 배제하고 단순히 울산에 종합국립대학이 없으니 이전한다는 발상은 옳지 않다고 생각합니다.둘째는 집적성입니다. 부산에는 해양수산업종과 공공기관이 집적되어있는데 예로 해양수산연수원, 해양조사원, 해양과학기술원, 해사고 등등 기관들과 현대중공업을 필두로 한 수십개의 조선소들 및 소위 중앙동으로 불리우는 해운업계 회사들이 몰려있는 곳까지 있습니다. 이러한 집적성을 무시하고 울산으로의 이전은 경제적 관점에서 크나큰 손실이 예상됩니다.셋째로 특수성과 상징성입니다. 부산은 대한민국에서 가장 큰 항만을 보유하고 있고 또 세계에서 인정받는 항만들이 있습니다. 국제 교류 및 무역의 상징과도 같은 곳인데 이러한 배경에는 해양대, 수산대의 역할도 굉장히 큰 지분을 차지했다고 생각합니다. 수산대와 해양대는 각각 어선사관과 상선사관을 양성하는데에 목적이 있었고 현재에는 더 나아가 종합적인 해양수산업계에 도움이 되는 인재들을 배출하는 특수대학들입니다. 이러한 특수성을 무시하고 다른 지역으로이전하는 것은 각 대학의 특수성을 무시하는 행동이라고 생각합니다. 또한 과거 산업화에 큰 공로가 있는 선원들을 탄생시킨 주역들이라는 점에서도 부산이라는 해상무역도시의 상징성을 함께 하는데 관련이 적은 울산으로의 이전은 이러한 상징성을 배제한다고 생각합니다. 마지막으로 제 모교인 해양대의 경우 2000년대 초에 이미 당시 박맹우 울산광역시장에 의해 울산 이전 방안이 나왔으나 재학생 및 동문들과 지역구민들의 극렬한 반발로 무산된 바 있습니다. 이러한 과거가 있는데도 불구하고 울산으로의 이전안은 지역구민과 재학생 및 동문들의 의견을 묵살하는 폭거로 비춰질 것입니다.그 유저분의 글을 읽고 대학의 구조조정이 필요하다는 홍대표님의 말씀을 듣고 부경대와 해양대는 각각의 특수한 목적이 있는 학교들인데 홍대표님이 모르시고 하실 수 있는 말씀일 수 도 있겠다 싶어서 이렇게 써봤습니다.이미 알고 계셨다면 제 오해를 용서해주시리라 믿습니다.부족한 글 읽어주시고 의견을 남겨주시면 감사하겠습니다.",잘 알겠습니다
4563,국민의힘 경선 룰 전면개편,더불어북한당,2022.03.19,홍반장님..현재 국민의힘 경선 룰이 문제가 많다고 봅니다전체 유권자가 훨씬 많은데민심과 당심 5 : 5 비율 인것이 말이 안됩니다7 : 3 정도로 민심 비중을 더 많이 둬야된다고 봅니다다가오는 지방선거나 대통령선거나반드시 수정되야 됩니다..한 나라의 대통령을 뽑는데조직표를 동원하는 정당은 구태 중의 구태 정당이자얼마 못가 또 다시 궤멸 수준으로 추락할 것이뻔해보입니다... 참 걱정입니다,선수가 룰탓 하는거 아니지요
4562,의원님 총선 출구조사 보시고 기분이 어떠셨나요?,전광훈목사,2022.03.19,저는 출구조사와 개표결과를 보고나서 지옥과 천국을 드나드는 기분이였습니다,당시 jtbc만 유일하게 제가 이기는거로 발표 했습니다
4561,홍카콜라유투브 라이브 방송은 언제 또 하시나요?,청년의힘,2022.03.19,궁금합니다,3월말부터
4560,홍카콜라 채널에서,종신홍카팬,2022.03.19,라이브나 영상을 꾸준히 해주셨으면 합니다항상 감사합니다^^,지금은 할말이 없어서
4559,준표형님 요즘 뭐하고 지내십니껴? 근황이 궁금합니데이,괴도키드,2022.03.19,함 알려주이소~~,자가격리중입니다
4558,홍준표 의원님 대구의료원에 대해선 어떻게 보시나요?,사마의,2022.03.19," 대구의료원이 지금 제2대구의료원이 건축될 것이라고 이야기를 하던데, 이에 대해서 나중에 공약을 준비하셔야 같아서 어떤 입장이신지 조심스레 질문해봅니다.   다만 홍 대표님에 대해서 진주의료원에 대한 부정적 프레임을 좌파들에게 공격받는 만큼, 마산의료원이 중흥한것처럼 대구 의료원을 제대로 개선시킬 방안을 확고하게 이야기를 하시고 대구 시장이 되어 실현시키신다면 의료 관련 프레임이 깨지지 않을까 저는 그렇게 생각을 합니다.   항상 홍 대표님 파이팅입니다!",잘 알겠습니다
4557,홍 의원님 동아일보 주성하 기자를 아시나요??,천공스승,2022.03.19, 김일성대 외문학부 출신 탈북민 출신 약 20년차 동아일보의 북한 전문 기자인주성하 기자님의 북한 소식 관련 유튜브를 가끔 보는데 매주 토요일 오후 3시마다 라이브를 합니다. 저번 주 라이브에 홍준표 의원의 작년 경선당시 북한 상호불간섭 정책에 대해서18분 08초부터 짧게 마음에 든다고 언급했었네요. 저도 상호 불간섭에 대해 찬성합니다. 어차피 통일이 된다고 해도 북한과 갑작스럽게 통일한다면이유야 많지만 엄청난 혼란이 있을 것이기 때문에일단 남남처럼 지내는 게 일단 필요하다고 봅니다. 반면에 이 언급 전에 나오지만 윤석열 당선인의 정책에는 별 거 없다고 했습니다만 ㅎㅎ,모르는분
4556,대구 최고의 관광명소는 어디라고 생각하시나요?,경기도지사,2022.03.19,대구로 여행을 가보고 싶습니다홍준표 대구시장 후보님은 대구 최고의 관광명소가 어디라고 생각하시나요?,수성못
4555,우상호 의원 어떻게 생각하십니까??,강한대한민국,2022.03.19,개인적으로 이걸 보고 좌파 중에선 그래도 현실감각 있는 인물이구나 싶었어요.별명이 우상호+스나이퍼 라고 '우나이퍼'라네요.좀 첨예한 인물인 건 맞는 거 같습니다.,잘몰라요
4554,의원님 나중에 프로야구 시구 해볼 생각이 있으신가요?,모로하,2022.03.19,나중에 대구 삼성라이온즈 파크에서 프로야구 시구를 하실 생각이 있으신가요? 곧 있으면 프로야구는 개막합니다.,한번 해봤는데 잘 안됩디다
4553,준표형 지방선거에서 구의원은 2등까지 당선되는 이유가 뭔가요?,모로하,2022.03.19,구의원은 2등을 해도 당선이라고 하더라고요. 구의원이 2등까지 당선되는 이유가 있나요?,중선거구제
4552,준표형 질문 드립니다,이제이제찢재명,2022.03.19,준표형께서 진행중이신 청년후보자 계획을저는 이번에는 참여 못하지만 대구 지역에서앞으로도 계속 진행하신다 하셨기에제가 부산에 살면서 지역이 안맞고부모님과 주위의 만류를 뿌리치는것이제꿈을 위해서는 괜찮을까요?준표형이 부모의 입장으로 보신다면어떠신가요?,지방선거는 지역인재중심 입니다
4551,대구시장  경선  실명인증,뚱캔,2022.03.19, 당내 경선에   저번처럼  조직표 개입이 되지 않으려면 투표시 반드시 실명인증이 필요한것 같습니다 이게 그나마 조직 표 개입을 최소화 할수 있는 환경조성은 된디고 보는데 당에서는 이와 관련하여조직표 방지를 위한 복안을   준비하고 있나요?,그건 당의 소관입니다
4550,준표형 대구시장이 되시면,도현,2022.03.19,우리가 홍형이 보고싶을때 대구시청에 가면 만나 주시나요??,언제라도
4549,대구 시장 경선 때는 빨간 넥타이를 달아주셨으면 좋겠습니다.,다요우파메카노,2022.03.19," 저번 대통령 선거 후보 경선 당시 파란 넥타이와 파란 마스크를 썼다고해서기레기들을 포함한 구태들에게 되려 좌파냐고 역공을 받았던 것이 떠오르네요.. 준표형이 ""한나라당 색깔로 쓴 것이다""라고 했는데도기레기와 구태들은 그런 행동을 멈추지 않았습니다. 지금도 틀튜브들이 준표형을 물고 늘어지는 이유 중 하나로 이 사건을 들먹이면서 코인팔이를 하고 있습니다. 곧 있을 대구 시장 후보 경선에서는마스크는 기존의 파란마스크를 쓰되,넥타이는 빨간 넥타이를 매셨으면 좋겠습니다. 제가 개인적으로는 17년도 틴핵 대선 당시 '레드준표'가 더 멋있어 보입니다. 틀튜브와 구태들이 또 걸고 넘어지지 않게 미리 대비를 하셨으면 좋겠습니다. 건강 챙기십시오! 항상 응원하겠습니다.",알겠습니다
